REINFORCE,BBO,TRS Error Bar,BBO Error Bar
2.18667,0.180431,0.0516424,0.0663421
2.22042,0.127309,0.048444,0.0865991
2.27351,0.329129,0.0484705,0.0447798
2.18877,0.376912,0.0474121,0.0386848
2.18138,0.268641,0.0491091,0.0487333
2.18608,0.241098,0.0472962,0.0587904
2.25673,0.263315,0.0484808,0.0622219
2.23546,0.284478,0.047552,0.0463319
2.20895,0.252573,0.0485562,0.046454
2.24775,0.187402,0.0481817,0.0711726
2.17817,0.20127,0.0468974,0.0584041
2.24464,0.295201,0.0495395,0.0524718
2.20246,0.283954,0.0514382,0.0478399
2.20873,0.230134,0.0481897,0.055036
2.25509,0.207182,0.0476514,0.0615712
2.25182,0.294945,0.0486647,0.0389071
2.25976,0.225617,0.04858,0.0550851
2.23775,0.203641,0.0517895,0.0646628
2.22694,0.264618,0.0495568,0.0517778
2.21331,0.269009,0.0483128,0.0450641
2.23424,0.267415,0.0481636,0.0516337
2.22002,0.276826,0.0483017,0.0546657
2.35298,0.220421,0.0499186,0.0479817
2.25596,0.259833,0.0485194,0.0565847
2.26611,0.299082,0.0487397,0.0370692
2.28019,0.253264,0.0479908,0.0511304
2.31161,0.223315,0.0508833,0.0484717
2.24659,0.2223,0.0481648,0.0544864
2.30021,0.297844,0.050369,0.0408737
2.25075,0.221236,0.0477428,0.0499532
2.27576,0.232235,0.046869,0.0458497
2.28645,0.265423,0.0476832,0.0471986
2.24633,0.266779,0.049706,0.0521217
2.29211,0.300324,0.0485303,0.0518
2.24883,0.255899,0.051314,0.0624447
2.28421,0.259177,0.0493716,0.046978
2.22477,0.279205,0.0485724,0.0586132
2.29628,0.289041,0.0506439,0.0578794
2.31815,0.313682,0.0477392,0.0552645
2.2203,0.257768,0.0478783,0.0562424
2.22807,0.261423,0.0499097,0.0515247
2.22248,0.174882,0.0487049,0.075483
2.28405,0.274929,0.0495484,0.052061
2.23261,0.213728,0.0496826,0.0638808
2.27017,0.251492,0.0497874,0.0653379
2.27941,0.214509,0.0486569,0.0596889
2.39146,0.224756,0.0479835,0.0546589
2.33465,0.271956,0.0501012,0.0447722
2.26252,0.217083,0.0487587,0.0596619
2.30454,0.35392,0.0475697,0.0587386
2.32801,0.250115,0.0486965,0.0564695
2.26672,0.357189,0.0490332,0.0558147
2.37089,0.219832,0.0481479,0.0661931
2.35384,0.217606,0.0493522,0.0623132
2.34078,0.366473,0.0482999,0.0409842
2.25372,0.331844,0.0510622,0.0492861
2.25425,0.31181,0.0491062,0.0426989
2.33249,0.27589,0.0489229,0.05033
2.30183,0.323891,0.049073,0.063908
